,name,screen_name,twitter_id,nom,created_at,description,location,profile_image_url,followers_count,following_count,tweet_count
0,Nathalie Arthaud,n_arthaud,1003575248,Arthaud,2012-12-11,candidate à la #Présidentielle2022 de @LutteOuvriere,,https://pbs.twimg.com/profile_images/1445280531764088836/J2hmiCgL_normal.jpg,29268,1424,3780
1,Nicolas Dupont-Aignan,dupontaignan,38170599,Dupont-Aignan,2009-05-06,Candidat à l'élection présidentielle 2022. Député de l'Essonne et Président de Debout la France @DLF_Officiel 🇫🇷 #ChoisirLaLiberté,Yerres,https://pbs.twimg.com/profile_images/672054572601483265/xRGGJGn1_normal.jpg,305281,460,24332
2,Anne Hidalgo,Anne_Hidalgo,26073581,Hidalgo,2009-03-23,Maire de @Paris | Candidate à la présidence de la République | Présidente de l'@AIMFrancophones,Paris,https://pbs.twimg.com/profile_images/1495378197482979329/a3bG2HTv_normal.jpg,1545979,16654,115340
3,Yannick Jadot,yjadot,117761523,Jadot,2010-02-26,Candidat à l'élection présidentielle 🇫🇷 Écologiste 🌻 Député européen 🇪🇺 #Jadot2022 #2022lecologie,France,https://pbs.twimg.com/profile_images/1503390744417124355/EHcjUgrl_normal.jpg,102542,1473,40557
4,Jean Lassalle,jeanlassalle,102722347,Lassalle,2010-01-07,"Candidat à la Présidentielle. Député de la 4ème circonscription des Pyrénées-Atlantiques. Président de l'APMM, du CNRH, de la Marche citoyenne et de Résistons !",Lourdios-Ichère,https://pbs.twimg.com/profile_images/868057012613128192/taT_x7GV_normal.jpg,85412,452,5337
5,Marine Le Pen,MLP_officiel,217749896,Le Pen,2010-11-20,Candidate à la Présidence de la République | Député du Pas-de-Calais | #MLaFrance,France,https://pbs.twimg.com/profile_images/1490403461602623492/C-RclF1W_normal.jpg,2708684,3294,24681
6,Emmanuel Macron,EmmanuelMacron,1976143068,Macron,2013-10-20,"Président de la République française. Pour suivre l'actualité de ma campagne, rendez-vous sur @avecvous.",France,https://pbs.twimg.com/profile_images/1502232882504421380/8brWTaNo_normal.jpg,8014693,725,11208
7,Jean-Luc Melenchon,JLMelenchon,80820758,Melenchon,2009-10-08,"Député @FranceInsoumise, candidat de l'#UnionPopulaire pour 2022. JLM ne tweete pas en personne. Rejoignez-nous sur https://t.co/L4S5X5uVLZ et @Melenchon_2022.",France,https://pbs.twimg.com/profile_images/1504144526247616515/JgtQ2mGP_normal.jpg,2419886,4854,43419
8,Valerie Pecresse,vpecresse,49969223,Pecresse,2009-06-23,Candidate à l'élection présidentielle | Présidente de la région Île-de-France | #Pecresse2022,Paris,https://pbs.twimg.com/profile_images/1506197649124429828/LaUqYzQg_normal.jpg,448128,1513,21239
9,Philippe Poutou,PhilippePoutou,374392774,Poutou,2011-09-16,"Ouvrier dans l'automobile, licencié par Ford, porte-parole du NPA et candidat à la présidentielle de 2022.","Bordeaux, France",https://pbs.twimg.com/profile_images/1414505068645208064/yVqvYNcU_normal.jpg,229842,18,4808
10,Fabien Roussel,Fabien_Roussel,1324449588,Roussel,2013-04-03,"Député du Nord
Candidat à l'élection présidentielle 2022
Secrétaire national du @PCF
https://t.co/0RCwoGHKai",Saint-Amand-les-Eaux,https://pbs.twimg.com/profile_images/1483356102133751809/7z_59a5w_normal.jpg,70055,543,7224
11,Eric Zemmour,ZemmourEric,1183418538285027329,Zemmour,2019-10-13,"Candidat à l'élection présidentielle
@Reconquete2022",France,https://pbs.twimg.com/profile_images/1504141076818497536/9fmKy9Og_normal.jpg,380412,56,6162
