created_at_week,Nathalie Arthaud,Nicolas Dupont-Aignan,Anne Hidalgo,Yannick Jadot,Jean Lassalle,Marine Le Pen,Emmanuel Macron,Jean-Luc Melenchon,Valerie Pecresse,Philippe Poutou,Fabien Roussel,Eric Zemmour
2021-09-30,2,15,61,33,9,13,3,48,6,5,14,27
2021-10-07,10,67,95,40,5,47,20,84,12,5,65,57
2021-10-14,13,79,243,110,7,53,29,250,13,25,79,81
2021-10-21,6,62,284,28,11,54,12,79,15,12,63,87
2021-10-28,15,57,199,59,13,78,45,107,12,7,121,103
2021-11-04,12,89,231,40,20,39,26,186,14,4,23,113
2021-11-11,7,86,142,69,8,75,40,179,21,19,88,95
2021-11-18,9,64,140,128,14,87,28,167,49,25,59,49
2021-11-25,3,64,123,61,14,74,14,237,38,12,103,56
2021-12-02,10,47,101,68,22,63,26,185,46,19,97,42
2021-12-09,3,56,157,59,20,50,34,266,24,14,55,197
2021-12-16,15,37,164,74,24,70,25,242,16,12,86,164
2021-12-23,7,43,22,44,9,64,5,14,14,31,32,61
2021-12-30,5,40,16,10,11,21,10,9,7,5,20,35
2022-01-06,7,78,33,83,12,79,7,177,44,5,91,255
2022-01-13,16,77,60,69,17,94,12,195,67,12,68,231
2022-01-20,9,75,162,97,14,92,34,302,56,27,98,192
2022-01-27,18,72,143,125,14,91,25,224,30,30,81,166
2022-02-03,17,85,228,106,14,133,18,235,40,13,87,254
2022-02-10,24,136,137,84,17,138,49,158,24,38,80,244
2022-02-17,25,94,144,123,23,147,29,255,68,15,90,172
2022-02-24,29,79,113,114,21,80,27,216,63,22,63,119
2022-03-03,23,103,112,115,21,144,43,60,69,23,69,119
2022-03-10,27,98,119,130,43,180,17,254,97,24,110,166
2022-03-17,58,147,81,114,31,136,18,221,71,36,90,176
2022-03-24,39,53,80,74,36,161,13,175,75,37,78,144
