,name,screen_name,twitter_id,sample
1,Emmanuel Macron,EmmanuelMacron,1976143068,1
2,Marine Le Pen,MLP_officiel,217749896,1
3,Jean-Luc Melenchon,JLMelenchon,80820758,1
4,Anne Hidalgo,Anne_Hidalgo,26073581,1
6,Valerie Pecresse,vpecresse,49969223,1
7,Eric Zemmour,ZemmourEric,1183418538285027329,1
8,Florian Philippot,f_philippot,472412809,0
9,Nicolas Dupont-Aignan,dupontaignan,38170599,1
10,Francois Asselineau,UPR_Asselineau,200659061,1
11,Yannick Jadot,yjadot,117761523,1
12,Jean Lassalle,jeanlassalle,102722347,1
13,Anasse Kazib,AnasseKazib,388972391,1
14,Nathalie Arthaud,n_arthaud,1003575248,1
15,Alexandre Langlois,AlexLanglois_,794465538575663105,0
16,Georges Kuzmanovic,Vukuzman,250657766,0
17,Hélène Thouy,HeleneThouy,4827536777,1
18,Fabrice Grimal,FabriceGrimal,594465125,0
19,Nagib Azergui,nagib_azergui,4864730830,0
20,Philippe Mazuel,MAZUEL_Pace,3338973317,0
21,Stephane Tauthui,Stauthui,95199684,0
22,Gildas Vieira,Gildasvieira1,821265014589980672,0
23,Gilles Lazzarini,gilleslazzarini,1327659080,0
24,Antoine Waechter,Waechter2022,1435043822698962946,0
25,Martin Rocca,MartinRocca2022,1354886267343925250,0
26,Philippe Furlan,furlan2022,1432366549726334978,0
27,Stéphane Wendlinger,StephWendlinger,1409513346882326529,0
28,Gérard Pignol,gerard_pignol,1442478056673669127,0
29,Christiane Taubira,ChTaubira,93484066,1
30,Fabien Roussel,Fabien_Roussel, 1324449588,1
